year,interest_rate,exchg_rate_index,exchg_gbp_into_usd,exchg_gbp_into_eur,cpi,gdp_deflator_growth,gdp_m,unemployment_rate,gfcf,started_dwellings,completed_dwellings,capital_account_balance,trade_pct_of_gdp,randd_exp_pct_of_gdp,manuf_val_added_pct_of_gdp,urban_pop_pct,exports_total,imports_total,balance_total,goods_imports_total,goods_exports_total,goods_balance_total,goods_balance_eu,goods_balance_non_eu,goods_exports_eu,goods_imports_eu,goods_exports_non_eu,goods_imports_non_eu,services_exports_total,services_imports_total,services_balance_total,pub_sec_net_debt_m,pub_sec_net_debt_pct_of_gdp,pub_sec_deficit_m,pub_sec_receipts_m,pub_sec_expenditure_m,population,life_expectancy,mean_household_income,median_household_income,gini_coefficient,poverty_rate,child_poverty_rate,gdp_deflator_index,gdp_per_capita,gdp_growth_rate
1949,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2234050.2978778332,20102614.106505517,17868563.808627687,NA,NA,NA,NA,NA,NA,NA,0.02605133826005855,NA,NA
1950,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2269798.6797556547,20337244.598077793,18067445.91832214,NA,NA,NA,NA,NA,NA,NA,0.02639000565743931,NA,NA
1951,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329200.9725035125,20144297.80681068,19815096.83430717,NA,NA,NA,NA,NA,NA,NA,0.028553986121349333,NA,NA
1952,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-896809.1714651263,19716709.667539857,20613518.839004986,NA,NA,NA,NA,NA,NA,NA,0.030552765149843793,NA,NA
1953,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1712143.4849150116,19976080.09561556,21688223.580530573,NA,NA,NA,NA,NA,NA,NA,0.031072162157391132,NA,NA
1954,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-881773.6948481335,20821955.73285791,21703729.427706044,NA,NA,NA,NA,NA,NA,NA,0.03141395594112243,NA,NA
1955,NA,NA,NA,NA,NA,4.7,586122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170262.3859522841,21106455.05858493,20936192.672632646,NA,NA,NA,NA,NA,NA,NA,0.032890411870355185,NA,NA
1956,NA,NA,NA,NA,NA,6.9,596062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-492038.50009597,20827733.735276233,21319772.235372204,NA,NA,NA,NA,NA,NA,NA,0.03515985028940969,NA,0.01695892663984631
1957,NA,NA,NA,NA,NA,4,607813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-131268.60829594574,21229962.629196394,21361231.23749234,NA,NA,NA,NA,NA,NA,NA,0.036566244300986074,NA,0.0197143921269935
1958,NA,NA,NA,NA,NA,3.7,615967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71204.04259061668,21938756.678197782,21867552.635607168,NA,NA,NA,NA,NA,NA,NA,0.03791919534012256,NA,0.013415310301030086
1959,NA,NA,NA,NA,NA,0.7,642287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1338234.792151426,21788871.762622043,23127106.55477347,NA,NA,NA,NA,NA,NA,NA,0.038184629707503415,NA,0.04272956181094117
1960,NA,NA,NA,NA,NA,1,682893,NA,NA,NA,NA,-15557.553143532496,NA,NA,NA,78.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1737260.1010277956,22555859.1325982,24293119.233625993,NA,NA,NA,NA,NA,NA,NA,0.038566476004578444,NA,0.06322095885484215
