"Title","GDP Deflator: Year on Year growth: SA %"
"CDID","IHYS"
"Source dataset ID","QNA"
"PreUnit",""
"Unit","%"
"Release date","30-09-2025"
"Next release","13 November 2025"
"Important notes",
"1949","3.1"
"1950","1.3"
"1951","8.2"
"1952","7.0"
"1953","1.7"
"1954","1.1"
"1955","4.7"
"1956","6.9"
"1957","4.0"
"1958","3.7"
"1959","0.7"
"1960","1.0"
"1961","3.8"
"1962","3.6"
"1963","1.5"
"1964","3.6"
"1965","5.9"
"1966","5.3"
"1967","2.9"
"1968","4.2"
"1969","6.6"
"1970","9.6"
"1971","8.3"
"1972","7.5"
"1973","8.8"
"1974","16.2"
"1975","26.1"
"1976","15.5"
"1977","13.9"
"1978","11.8"
"1979","14.4"
"1980","20.1"
"1981","12.4"
"1982","8.0"
"1983","5.5"
"1984","5.2"
"1985","5.4"
"1986","4.5"
"1987","5.5"
"1988","6.1"
"1989","8.0"
"1990","8.5"
"1991","6.7"
"1992","3.3"
"1993","3.0"
"1994","1.8"
"1995","2.6"
"1996","4.1"
"1997","0.0"
"1998","1.3"
"1999","1.4"
"2000","1.0"
"2001","1.7"
"2002","2.1"
"2003","2.4"
"2004","2.7"
"2005","2.9"
"2006","3.1"
"2007","2.0"
"2008","3.3"
"2009","2.0"
"2010","1.3"
"2011","2.5"
"2012","1.5"
"2013","2.2"
"2014","1.6"
"2015","0.7"
"2016","1.7"
"2017","1.5"
"2018","2.0"
"2019","2.5"
"2020","4.8"
"2021","0.7"
"2022","5.7"
"2023","6.3"
"2024","3.6"
