Entity,Code,Year,Period life expectancy at birth
United Kingdom,GBR,1995,76.614
United Kingdom,GBR,1996,76.8719
United Kingdom,GBR,1997,77.1389
United Kingdom,GBR,1998,77.2745
United Kingdom,GBR,1999,77.3728
United Kingdom,GBR,2000,77.8491
United Kingdom,GBR,2001,78.1208
United Kingdom,GBR,2002,78.237
United Kingdom,GBR,2003,78.3302
United Kingdom,GBR,2004,78.8998
United Kingdom,GBR,2005,79.1061
United Kingdom,GBR,2006,79.3474
United Kingdom,GBR,2007,79.5337
United Kingdom,GBR,2008,79.6554
United Kingdom,GBR,2009,80.1556
United Kingdom,GBR,2010,80.3908
United Kingdom,GBR,2011,80.7961
United Kingdom,GBR,2012,80.8594
United Kingdom,GBR,2013,80.9232
United Kingdom,GBR,2014,81.1529
United Kingdom,GBR,2015,80.919
United Kingdom,GBR,2016,81.0675
United Kingdom,GBR,2017,81.164
United Kingdom,GBR,2018,81.1229
United Kingdom,GBR,2019,81.4426
United Kingdom,GBR,2020,80.3854
United Kingdom,GBR,2021,80.708
United Kingdom,GBR,2022,81.0744
United Kingdom,GBR,2023,81.3015
