Entity,Code,Year,Period life expectancy at birth
United Kingdom,GBR,1961,70.7895
United Kingdom,GBR,1962,70.8576
United Kingdom,GBR,1963,70.7609
United Kingdom,GBR,1964,71.5407
United Kingdom,GBR,1965,71.5157
United Kingdom,GBR,1966,71.4329
United Kingdom,GBR,1967,72.0706
United Kingdom,GBR,1968,71.6842
United Kingdom,GBR,1969,71.6625
United Kingdom,GBR,1970,71.8819
United Kingdom,GBR,1971,72.234
United Kingdom,GBR,1972,71.9882
United Kingdom,GBR,1973,72.1846
United Kingdom,GBR,1974,72.376
United Kingdom,GBR,1975,72.65
United Kingdom,GBR,1976,72.6341
United Kingdom,GBR,1977,73.1111
United Kingdom,GBR,1978,73.0429
United Kingdom,GBR,1979,73.1607
United Kingdom,GBR,1980,73.5906
United Kingdom,GBR,1981,73.9162
United Kingdom,GBR,1982,74.0388
United Kingdom,GBR,1983,74.2927
United Kingdom,GBR,1984,74.6741
United Kingdom,GBR,1985,74.5362
United Kingdom,GBR,1986,74.7948
United Kingdom,GBR,1987,75.147
United Kingdom,GBR,1988,75.2593
United Kingdom,GBR,1989,75.3971
United Kingdom,GBR,1990,75.7377
United Kingdom,GBR,1991,75.9108
United Kingdom,GBR,1992,76.3074
United Kingdom,GBR,1993,76.1602
United Kingdom,GBR,1994,76.7198
United Kingdom,GBR,1995,76.614
United Kingdom,GBR,1996,76.8719
United Kingdom,GBR,1997,77.1389
United Kingdom,GBR,1998,77.2745
United Kingdom,GBR,1999,77.3728
United Kingdom,GBR,2000,77.8491
United Kingdom,GBR,2001,78.1208
United Kingdom,GBR,2002,78.237
United Kingdom,GBR,2003,78.3302
United Kingdom,GBR,2004,78.8998
United Kingdom,GBR,2005,79.1061
United Kingdom,GBR,2006,79.3474
United Kingdom,GBR,2007,79.5337
United Kingdom,GBR,2008,79.6554
United Kingdom,GBR,2009,80.1556
United Kingdom,GBR,2010,80.3908
United Kingdom,GBR,2011,80.7961
United Kingdom,GBR,2012,80.8594
United Kingdom,GBR,2013,80.9232
United Kingdom,GBR,2014,81.1529
United Kingdom,GBR,2015,80.919
United Kingdom,GBR,2016,81.0675
United Kingdom,GBR,2017,81.164
United Kingdom,GBR,2018,81.1229
United Kingdom,GBR,2019,81.4426
United Kingdom,GBR,2020,80.3854
United Kingdom,GBR,2021,80.708
United Kingdom,GBR,2022,81.0744
United Kingdom,GBR,2023,81.3015
