"Title","Capital Account: Balance: CP NSA"
"CDID","FKMJ"
"Source dataset ID","PNBP"
"PreUnit",""
"Unit",""
"Release date","30-09-2025"
"Next release","22 December 2025"
"Important notes",
"1946","-21"
"1947","-21"
"1948","-17"
"1949","-12"
"1950","-10"
"1951","-15"
"1952","-15"
"1953","-13"
"1954","-13"
"1955","-15"
"1956","-13"
"1957","-13"
"1958","-10"
"1959","-5"
"1960","-6"
"1961","-12"
"1962","-12"
"1963","-16"
"1964","-17"
"1965","-18"
"1966","-19"
"1967","-25"
"1968","-26"
"1969","-23"
"1970","-22"
"1971","-23"
"1972","-35"
"1973","-39"
"1974","-34"
"1975","-36"
"1976","-12"
"1977","11"
"1978","-79"
"1979","-103"
"1980","-4"
"1981","-79"
"1982","6"
"1983","75"
"1984","107"
"1985","185"
"1986","-261"
"1987","159"
"1988","-39"
"1989","-56"
"1990","222"
"1991","-55"
"1992","35"
"1993","32"
"1994","-252"
"1995","97"
"1996","806"
"1997","509"
"1998","-261"
"1999","-258"
"2000","393"
"2001","73"
"2002","-675"
"2003","-65"
"2004","90"
"2005","-843"
"2006","-1527"
"2007","-250"
"2008","71"
"2009","59"
"2010","-909"
"2011","-991"
"2012","-843"
"2013","-1431"
"2014","-2103"
"2015","-1854"
"2016","-1599"
"2017","-9765"
"2018","-2716"
"2019","-1322"
"2020","-3016"
"2021","-2238"
"2022","-3405"
"2023","-4998"
"2024","-4699"
"1955 Q1","-4"
"1955 Q2","-3"
"1955 Q3","-3"
"1955 Q4","-5"
"1956 Q1","-3"
"1956 Q2","-3"
"1956 Q3","-3"
"1956 Q4","-4"
"1957 Q1","-3"
"1957 Q2","-3"
"1957 Q3","-3"
"1957 Q4","-4"
"1958 Q1","-3"
"1958 Q2","-2"
"1958 Q3","-2"
"1958 Q4","-3"
"1959 Q1","-1"
"1959 Q2","-1"
"1959 Q3","-1"
"1959 Q4","-2"
"1960 Q1","-2"
"1960 Q2","-1"
"1960 Q3","-1"
"1960 Q4","-2"
"1961 Q1","-3"
"1961 Q2","-2"
"1961 Q3","-4"
"1961 Q4","-3"
"1962 Q1","-4"
"1962 Q2","-2"
"1962 Q3","-3"
"1962 Q4","-3"
"1963 Q1","-4"
"1963 Q2","-4"
"1963 Q3","-5"
"1963 Q4","-3"
"1964 Q1","-5"
"1964 Q2","-3"
"1964 Q3","-6"
"1964 Q4","-3"
"1965 Q1","-5"
"1965 Q2","-4"
"1965 Q3","-5"
"1965 Q4","-4"
"1966 Q1","-5"
"1966 Q2","-4"
"1966 Q3","-5"
"1966 Q4","-5"
"1967 Q1","-6"
"1967 Q2","-6"
"1967 Q3","-7"
"1967 Q4","-6"
"1968 Q1","-7"
"1968 Q2","-7"
"1968 Q3","-6"
"1968 Q4","-6"
"1969 Q1","-7"
"1969 Q2","-6"
"1969 Q3","-5"
"1969 Q4","-5"
"1970 Q1","-6"
"1970 Q2","-5"
"1970 Q3","-6"
"1970 Q4","-5"
"1971 Q1","-6"
"1971 Q2","-5"
"1971 Q3","-6"
"1971 Q4","-6"
"1972 Q1","-8"
"1972 Q2","-8"
"1972 Q3","-9"
"1972 Q4","-10"
"1973 Q1","-8"
"1973 Q2","-12"
"1973 Q3","-10"
"1973 Q4","-9"
"1974 Q1","-10"
"1974 Q2","-7"
"1974 Q3","-9"
"1974 Q4","-8"
"1975 Q1","-9"
"1975 Q2","-10"
"1975 Q3","-9"
"1975 Q4","-8"
"1976 Q1","-5"
"1976 Q2","-4"
"1976 Q3","-4"
"1976 Q4","1"
"1977 Q1","9"
"1977 Q2","-4"
"1977 Q3","-6"
"1977 Q4","12"
"1978 Q1","-23"
"1978 Q2","-22"
"1978 Q3","-19"
"1978 Q4","-15"
"1979 Q1","-28"
"1979 Q2","-27"
"1979 Q3","-27"
"1979 Q4","-21"
"1980 Q1","10"
"1980 Q2","-34"
"1980 Q3","-1"
"1980 Q4","21"
"1981 Q1","-46"
"1981 Q2","-37"
"1981 Q3","-33"
"1981 Q4","37"
"1982 Q1","-14"
"1982 Q2","-7"
"1982 Q3","-3"
"1982 Q4","30"
"1983 Q1","5"
"1983 Q2","0"
"1983 Q3","48"
"1983 Q4","22"
"1984 Q1","52"
"1984 Q2","-5"
"1984 Q3","6"
"1984 Q4","54"
"1985 Q1","58"
"1985 Q2","16"
"1985 Q3","54"
"1985 Q4","57"
"1986 Q1","-8"
"1986 Q2","-148"
"1986 Q3","-21"
"1986 Q4","-84"
"1987 Q1","53"
"1987 Q2","11"
"1987 Q3","47"
"1987 Q4","48"
"1988 Q1","-36"
"1988 Q2","-53"
"1988 Q3","-24"
"1988 Q4","74"
"1989 Q1","21"
"1989 Q2","-5"
"1989 Q3","-69"
"1989 Q4","-3"
"1990 Q1","147"
"1990 Q2","-45"
"1990 Q3","-21"
"1990 Q4","141"
"1991 Q1","-129"
"1991 Q2","51"
"1991 Q3","-22"
"1991 Q4","45"
"1992 Q1","-17"
"1992 Q2","52"
"1992 Q3","33"
"1992 Q4","-33"
"1993 Q1","25"
"1993 Q2","-68"
"1993 Q3","91"
"1993 Q4","-16"
"1994 Q1","156"
"1994 Q2","-219"
"1994 Q3","-134"
"1994 Q4","-55"
"1995 Q1","137"
"1995 Q2","11"
"1995 Q3","-64"
"1995 Q4","13"
"1996 Q1","98"
"1996 Q2","230"
"1996 Q3","330"
"1996 Q4","148"
"1997 Q1","154"
"1997 Q2","18"
"1997 Q3","121"
"1997 Q4","216"
"1998 Q1","-159"
"1998 Q2","-191"
"1998 Q3","39"
"1998 Q4","50"
"1999 Q1","-102"
"1999 Q2","17"
"1999 Q3","-83"
"1999 Q4","-90"
"2000 Q1","77"
"2000 Q2","434"
"2000 Q3","18"
"2000 Q4","-136"
"2001 Q1","-85"
"2001 Q2","277"
"2001 Q3","-78"
"2001 Q4","-41"
"2002 Q1","-109"
"2002 Q2","-309"
"2002 Q3","-241"
"2002 Q4","-16"
"2003 Q1","-103"
"2003 Q2","-140"
"2003 Q3","64"
"2003 Q4","114"
"2004 Q1","283"
"2004 Q2","189"
"2004 Q3","-240"
"2004 Q4","-142"
"2005 Q1","274"
"2005 Q2","27"
"2005 Q3","-227"
"2005 Q4","-917"
"2006 Q1","176"
"2006 Q2","-1587"
"2006 Q3","-92"
"2006 Q4","-24"
"2007 Q1","-164"
"2007 Q2","-611"
"2007 Q3","28"
"2007 Q4","497"
"2008 Q1","260"
"2008 Q2","-32"
"2008 Q3","-82"
"2008 Q4","-75"
"2009 Q1","106"
"2009 Q2","-153"
"2009 Q3","114"
"2009 Q4","-8"
"2010 Q1","289"
"2010 Q2","-141"
"2010 Q3","-650"
"2010 Q4","-407"
"2011 Q1","-313"
"2011 Q2","26"
"2011 Q3","54"
"2011 Q4","-758"
"2012 Q1","-1"
"2012 Q2","-212"
"2012 Q3","116"
"2012 Q4","-746"
"2013 Q1","-275"
"2013 Q2","118"
"2013 Q3","-171"
"2013 Q4","-1103"
"2014 Q1","-205"
"2014 Q2","-18"
"2014 Q3","-427"
"2014 Q4","-1453"
"2015 Q1","-34"
"2015 Q2","-781"
"2015 Q3","-453"
"2015 Q4","-586"
"2016 Q1","296"
"2016 Q2","-268"
"2016 Q3","-1019"
"2016 Q4","-608"
"2017 Q1","-163"
"2017 Q2","-598"
"2017 Q3","-8435"
"2017 Q4","-569"
"2018 Q1","-219"
"2018 Q2","-857"
"2018 Q3","-285"
"2018 Q4","-1355"
"2019 Q1","-97"
"2019 Q2","-23"
"2019 Q3","-268"
"2019 Q4","-934"
"2020 Q1","-301"
"2020 Q2","-118"
"2020 Q3","-1161"
"2020 Q4","-1436"
"2021 Q1","-490"
"2021 Q2","-313"
"2021 Q3","-786"
"2021 Q4","-649"
"2022 Q1","-524"
"2022 Q2","-841"
"2022 Q3","-737"
"2022 Q4","-1303"
"2023 Q1","-2134"
"2023 Q2","-862"
"2023 Q3","-769"
"2023 Q4","-1233"
"2024 Q1","-2198"
"2024 Q2","-449"
"2024 Q3","-1381"
"2024 Q4","-671"
"2025 Q1","-531"
"2025 Q2","-1667"
